round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0999,,0.0000,0.00,0.00,0.00
2,0.0715,,1.6604,138.01,0.00,138.01
3,0.2021,,1.5484,138.01,137.74,275.76
4,0.2294,,1.4491,138.01,137.74,275.76
5,0.2395,,1.3638,138.01,137.74,275.76
6,0.2477,,1.2911,138.01,137.74,275.76
7,0.2519,,1.2288,138.01,137.74,275.76
8,0.2540,,1.1754,138.01,137.74,275.76
9,0.2559,,1.1291,138.01,137.74,275.76
10,0.2575,,1.0884,138.01,137.74,275.76
11,0.2581,,1.0525,138.01,137.74,275.76
12,0.2603,,1.0210,138.01,137.74,275.76
13,0.2610,,0.9924,138.01,137.74,275.76
14,0.2614,,0.9684,138.01,137.74,275.76
15,0.2616,,0.9473,138.01,137.74,275.76
16,0.2620,,0.9289,138.01,137.74,275.76
17,0.2607,,0.9061,138.01,137.74,275.76
18,0.2620,,0.8869,138.01,137.74,275.76
19,0.2648,,0.8723,138.01,137.74,275.76
20,0.2663,,0.8591,138.01,137.74,275.76
21,0.2676,,0.8469,138.01,137.74,275.76
22,0.2690,,0.8365,138.01,137.74,275.76
23,0.2720,,0.8257,138.01,137.74,275.76
24,0.2739,,0.8156,138.01,137.74,275.76
25,0.2746,,0.8068,138.01,137.74,275.76
26,0.2770,,0.7981,138.01,137.74,275.76
27,0.2786,,0.7901,138.01,137.74,275.76
28,0.2795,,0.7817,138.01,137.74,275.76
29,0.2812,,0.7734,138.01,137.74,275.76
30,0.2836,,0.7665,138.01,137.74,275.76
31,0.2840,,0.7599,138.01,137.74,275.76
32,0.2864,,0.7517,138.01,137.74,275.76
33,0.2886,,0.7438,138.01,137.74,275.76
34,0.2916,,0.7369,138.01,137.74,275.76
35,0.2934,,0.7319,138.01,137.74,275.76
36,0.2948,,0.7247,138.01,137.74,275.76
37,0.2972,,0.7184,138.01,137.74,275.76
38,0.2974,,0.7110,138.01,137.74,275.76
39,0.3004,,0.7056,138.01,137.74,275.76
40,0.3012,,0.6993,138.01,137.74,275.76
41,0.3037,,0.6926,138.01,137.74,275.76
42,0.3027,,0.6883,138.01,137.74,275.76
43,0.3049,,0.6831,138.01,137.74,275.76
44,0.3064,,0.6775,138.01,137.74,275.76
45,0.3077,,0.6728,138.01,137.74,275.76
46,0.3093,,0.6661,138.01,137.74,275.76
47,0.3099,,0.6617,138.01,137.74,275.76
48,0.3108,,0.6558,138.01,137.74,275.76
49,0.3128,,0.6525,138.01,137.74,275.76
50,0.3135,,0.6460,138.01,137.74,275.76
51,0.3141,,0.6430,138.01,137.74,275.76
52,0.3148,,0.6371,138.01,137.74,275.76
53,0.3166,,0.6325,138.01,137.74,275.76
54,0.3158,,0.6284,138.01,137.74,275.76
55,0.3174,,0.6261,138.01,137.74,275.76
56,0.3194,,0.6206,138.01,137.74,275.76
57,0.3201,,0.6157,138.01,137.74,275.76
58,0.3191,,0.6143,138.01,137.74,275.76
59,0.3193,,0.6106,138.01,137.74,275.76
60,0.3224,,0.6050,138.01,137.74,275.76
61,0.3191,,0.6017,138.01,137.74,275.76
62,0.3193,,0.6002,138.01,137.74,275.76
63,0.3235,,0.5966,138.01,137.74,275.76
64,0.3217,,0.5931,138.01,137.74,275.76
65,0.3227,,0.5878,138.01,137.74,275.76
66,0.3223,,0.5863,138.01,137.74,275.76
67,0.3232,,0.5840,138.01,137.74,275.76
68,0.3253,,0.5799,138.01,137.74,275.76
69,0.3250,,0.5781,138.01,137.74,275.76
70,0.3272,,0.5769,138.01,137.74,275.76
71,0.3264,,0.5722,138.01,137.74,275.76
72,0.3275,,0.5695,138.01,137.74,275.76
73,0.3269,,0.5667,138.01,137.74,275.76
74,0.3281,,0.5643,138.01,137.74,275.76
75,0.3283,,0.5605,138.01,137.74,275.76
76,0.3278,,0.5565,138.01,137.74,275.76
77,0.3295,,0.5539,138.01,137.74,275.76
78,0.3315,,0.5540,138.01,137.74,275.76
79,0.3310,,0.5509,138.01,137.74,275.76
80,0.3305,,0.5475,138.01,137.74,275.76
81,0.3342,,0.5455,138.01,137.74,275.76
82,0.3335,,0.5429,138.01,137.74,275.76
83,0.3331,,0.5429,138.01,137.74,275.76
84,0.3344,,0.5395,138.01,137.74,275.76
85,0.3352,,0.5379,138.01,137.74,275.76
86,0.3364,,0.5367,138.01,137.74,275.76
87,0.3367,,0.5340,138.01,137.74,275.76
88,0.3350,,0.5324,138.01,137.74,275.76
89,0.3388,,0.5293,138.01,137.74,275.76
90,0.3374,,0.5295,138.01,137.74,275.76
91,0.3385,,0.5273,138.01,137.74,275.76
92,0.3390,,0.5242,138.01,137.74,275.76
93,0.3397,,0.5248,138.01,137.74,275.76
94,0.3380,,0.5188,138.01,137.74,275.76
95,0.3373,,0.5207,138.01,137.74,275.76
96,0.3388,,0.5140,138.01,137.74,275.76
97,0.3397,,0.5178,138.01,137.74,275.76
98,0.3435,,0.5156,138.01,137.74,275.76
99,0.3427,,0.5149,138.01,137.74,275.76
100,0.3430,,0.5127,138.01,137.74,275.76
101,0.3462,,0.5115,138.01,137.74,275.76
